Id,Name,2026-09-01 23:06:25,2026-09-02 08:14:42,2026-09-02 22:31:36,2026-09-03 08:14:32,2026-09-03 22:29:59,2026-09-04 08:11:07,2026-09-04 22:24:55,2026-09-05 07:58:06,2026-09-05 21:33:09,2026-09-06 07:46:19,2026-09-06 21:48:45
19648718,ASRock B650 Pro RS + WiFi6E 모듈 패키지 디앤디컴,"379,320","379,320","379,320","379,320",0,"379,320","379,320","379,320",0,"379,320","379,320"
18718829,ASRock B650 Pro RS 대원씨티에스,"344,850","344,850","344,850","344,850",0,"344,850","344,850","344,850",0,"344,850","344,850"
17971202,ASRock B650 Pro RS 디앤디컴,"379,000","379,000","379,000","379,000",0,"379,000","379,000","379,000",0,"379,000","379,000"
17971247,ASRock B650 Pro RS 에즈윈,"329,000","329,000","329,000","329,000",0,"329,000","329,000","329,000",0,"329,000","329,000"
72304610,ASRock B650 스틸레전드 WiFi 대원씨티에스,"220,490","220,490","220,500","220,500",0,"220,490","220,490","220,490",0,"220,490","220,490"
64394135,ASRock B650 스틸레전드 WiFi 디앤디컴,"228,300","228,300","228,300","228,300",0,"228,300","228,300","228,300",0,"228,300","228,300"
18007478,ASRock B650E PG Riptide WiFi 대원씨티에스,"355,100","355,100","355,100","355,100",0,"355,100","355,100","355,100",0,"355,100","355,100"
18007499,ASRock B650E 스틸레전드 WiFi 대원씨티에스,"438,970","438,970","438,970","438,970",0,"438,970","438,970","438,970",0,"438,970","438,970"
30167879,ASRock B650M PG Lightning + WiFi6E 모듈 패키지 디앤디컴,"142,000","142,000","142,000","142,000",0,"142,000","142,000","142,000",0,"142,000","142,000"
30622283,ASRock B650M PG Lightning + WiFi6E 모듈 패키지 에즈윈,"197,910","197,910","197,910","197,910",0,"197,910","197,910","197,910",0,"197,910","197,910"
46742996,ASRock B650M PG Lightning WiFi 디앤디컴,"170,000","170,000","170,000","170,000",0,"170,000","170,000","170,000",0,"170,000","170,000"
30300260,ASRock B650M PG Lightning 대원씨티에스,"114,990","114,990","114,990","114,990",0,"114,990","114,990","116,160",0,"120,000","120,000"
29908775,ASRock B650M PG Lightning 디앤디컴,"113,530","113,530","114,000","114,000",0,"114,000","114,000","114,000",0,"114,000","113,990"
28603964,ASRock B650M PG Lightning 에즈윈,"127,000","127,000","127,000","127,000",0,"127,000","127,000","127,000",0,"127,000","127,000"
63478082,ASRock B650M PG Riptide WiFi White 대원씨티에스,"259,000","259,000","259,000","259,000",0,"259,000","259,000","259,000",0,"259,000","259,000"
63269363,ASRock B650M PG Riptide WiFi White 디앤디컴,"239,500","239,500","239,500","239,500",0,"239,500","239,500","239,500",0,"239,500","239,500"
62791640,ASRock B650M PG Riptide WiFi White 에즈윈,"219,430","219,430","219,430","219,430",0,"219,430","219,430","219,430",0,"219,430","219,430"
17971604,ASRock B650M PG Riptide 대원씨티에스,"175,990","175,990","175,990","175,990",0,"175,990","175,990","175,990",0,"175,990","175,990"
17971253,ASRock B650M PG Riptide 에즈윈,"299,000","299,000","299,000","299,000",0,"299,000","299,000","299,000",0,"299,000","299,000"
122699502,ASRock B650M PRO-A Gen5 대원씨티에스,"135,540","135,540","135,540","135,540",0,"134,080","134,080","134,080",0,"134,080","134,080"
122697250,ASRock B650M PRO-A Gen5 디앤디컴,"132,990","132,990","132,990","132,990",0,"134,740","132,990","134,700",0,"134,700","134,700"
21627827,ASRock B650M Pro RS 대원씨티에스,"165,000","165,000","165,000","165,000",0,"165,000","165,000","165,000",0,"165,000","165,000"
