Id,Name,2026-08-01 19:46:41,2026-08-02 07:05:35,2026-08-02 19:47:21,2026-08-03 07:02:14,2026-08-03 21:33:39,2026-08-04 07:14:58,2026-08-04 20:32:22,2026-08-05 07:20:16,2026-08-05 20:27:47,2026-08-06 07:18:20,2026-08-06 20:30:52,2026-08-07 10:04:03,2026-08-07 19:07:34,2026-08-08 06:47:49,2026-08-08 18:46:21,2026-08-09 06:38:32,2026-08-09 18:48:34
4147079,인텔 코어i5-1세대 650 (클락데일),"중고_4,190","중고_4,390","중고_4,390","중고_4,390","중고_4,290","중고_4,270","중고_4,270","중고_4,270","중고_4,190","중고_4,390","중고_4,390","중고_4,360","중고_4,300","중고_4,270","중고_4,270","중고_4,270","중고_4,190"
1132682,인텔 코어i5-1세대 760 (린필드),"_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280","_벌크_3,310|_중고_3,280"
17575589,인텔 코어i5-2세대 2300 (샌디브릿지),"중고_10,810","중고_10,790","중고_10,790","중고_10,790","중고_10,790","중고_10,790","중고_10,500","중고_10,490","중고_10,490","중고_10,490","중고_10,490","중고_10,490","중고_10,490","중고_10,490","중고_10,490","중고_10,490","중고_10,490"
4504388,인텔 코어i5-2세대 2400 (샌디브릿지),"중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990","중고_9,990"
1290175,인텔 코어i5-2세대 2500 (샌디브릿지),"_벌크_12,500|_중고_12,600","_벌크_12,500|_중고_12,600","_벌크_12,500|_중고_12,600","_벌크_12,500|_중고_12,600","_벌크_12,500|_중고_12,600","_벌크_12,500|_중고_12,600","_벌크_12,500|_중고_12,600","_벌크_12,500|_중고_12,600","_벌크_12,500|_중고_12,600","_벌크_12,500|_중고_12,600","_벌크_12,500|_중고_11,250","_벌크_12,500|_중고_11,250","_벌크_12,500|_중고_11,250","_벌크_12,500|_중고_11,250","_벌크_12,500|_중고_11,250","_벌크_12,500|_중고_11,250","_벌크_11,800|_중고_11,250"
4144246,인텔 코어i5-2세대 2500K (샌디브릿지),"중고_13,080","중고_13,050","중고_13,050","중고_13,050","중고_13,050","중고_13,050","중고_13,330","중고_13,330","중고_13,330","중고_13,330","중고_13,330","중고_13,480","중고_13,480","중고_13,480","중고_13,480","중고_13,480","중고_13,480"
1783749,인텔 코어i5-3세대 3330 (아이비브릿지),"중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800","중고_12,800"
1725177,인텔 코어i5-3세대 3470 (아이비브릿지),"중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990","중고_13,990"
4274836,인텔 코어i5-3세대 3550 (아이비브릿지),"중고_17,350","중고_17,350","중고_17,350","중고_17,350","중고_17,350","중고_17,350","중고_17,350","중고_17,350","중고_17,350","중고_17,350","중고_17,360","중고_17,360","중고_17,360","중고_17,360","중고_17,360","중고_17,360","중고_17,360"
1720040,인텔 코어i5-3세대 3570 (아이비브릿지),"벌크 + 쿨러_20,460|_벌크_16,270|_중고_14,000","벌크 + 쿨러_20,460|_벌크_16,270|_중고_13,970","벌크 + 쿨러_20,460|_벌크_16,270|_중고_13,970","벌크 + 쿨러_20,460|_벌크_16,270|_중고_13,970","벌크 + 쿨러_20,460|_벌크_16,270|_중고_13,940","벌크 + 쿨러_20,460|_벌크_16,270|_중고_13,940","벌크 + 쿨러_20,460|_벌크_16,270|_중고_13,940","벌크 + 쿨러_20,460|_벌크_16,270|_중고_13,940","벌크 + 쿨러_20,460|_벌크_16,270|_중고_14,250","벌크 + 쿨러_20,460|_벌크_16,270|_중고_14,250","벌크 + 쿨러_20,460|_벌크_16,270|_중고_14,250","벌크 + 쿨러_20,460|_벌크_16,270|_중고_14,260","벌크 + 쿨러_20,460|_벌크_16,270|_중고_14,260","벌크 + 쿨러_20,460|_벌크_16,270|_중고_14,260","벌크 + 쿨러_20,460|_벌크_16,270|_중고_14,260","벌크 + 쿨러_20,460|_벌크_16,270|_중고_14,260","벌크 + 쿨러_20,460|_벌크_16,270|_중고_14,260"
6112513,인텔 코어i5-4세대 4430 (하스웰),"중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700","중고_21,700"
2216194,인텔 코어i5-4세대 4440 (하스웰),"_벌크_22,560|_중고_18,990","_벌크_22,560|_중고_18,990","_벌크_22,560|_중고_18,990","_벌크_22,560|_중고_18,990","_벌크_22,560|_중고_18,990","_벌크_22,560|_중고_18,990","_벌크_22,360|_중고_18,990","_벌크_22,360|_중고_18,990","_벌크_22,360|_중고_18,990","_벌크_22,360|_중고_18,990","_벌크_22,360|_중고_18,990","_벌크_22,360|_중고_18,990","_벌크_22,560|_중고_18,990","_벌크_22,560|_중고_18,990","_벌크_22,560|_중고_18,990","_벌크_22,560|_중고_18,990","_벌크_22,560|_중고_18,990"
2691725,인텔 코어i5-4세대 4460 (하스웰 리프레시),"_벌크_23,110|_중고_19,140","_벌크_23,110|_중고_19,140","_벌크_23,110|_중고_19,140","_벌크_23,110|_중고_19,140","_벌크_23,110|_중고_19,140","_벌크_23,110|_중고_19,140","_벌크_22,890|_중고_19,140","_벌크_22,890|_중고_19,140","_벌크_22,890|_중고_19,140","_벌크_22,890|_중고_19,140","_벌크_22,890|_중고_19,140","_벌크_22,890|_중고_19,140","_벌크_22,890|_중고_19,140","_벌크_22,890|_중고_19,140","_벌크_23,110|_중고_19,140","_벌크_23,110|_중고_20,000","_벌크_23,110|_중고_20,000"
2081215,인텔 코어i5-4세대 4570 (하스웰),"_벌크 + 쿨러_25,830|_중고_19,060","_벌크 + 쿨러_25,800|_중고_19,060","_벌크 + 쿨러_25,800|_중고_19,060","_벌크 + 쿨러_25,800|_중고_19,060","_벌크 + 쿨러_25,700|_중고_19,060","_벌크 + 쿨러_25,690|_중고_19,060","_벌크 + 쿨러_25,690|_중고_19,060","_벌크 + 쿨러_25,690|_중고_19,060","_벌크 + 쿨러_26,210|_중고_19,060","_벌크 + 쿨러_26,210|_중고_19,060","_벌크 + 쿨러_26,210|_중고_19,060","_벌크 + 쿨러_26,500|_중고_19,060","_벌크 + 쿨러_26,500|_중고_19,060","_벌크 + 쿨러_26,500|_중고_19,060","_벌크 + 쿨러_26,500|_중고_19,060","_벌크 + 쿨러_26,500|_중고_19,060","_벌크 + 쿨러_26,500|_중고_19,060"
2783216,인텔 코어i5-4세대 4590 (하스웰 리프레시),"_벌크 + 쿨러_26,270|벌크_24,210|_중고_20,660","_벌크 + 쿨러_26,240|벌크_24,210|_중고_20,660","_벌크 + 쿨러_26,160|벌크_24,210|_중고_20,570","_벌크 + 쿨러_26,130|벌크_24,210|_중고_20,540","_벌크 + 쿨러_26,130|벌크_24,210|_중고_20,540","_벌크 + 쿨러_26,140|벌크_24,210|_중고_20,550","_벌크 + 쿨러_26,220|벌크_23,990|_중고_20,790","_벌크 + 쿨러_26,220|벌크_23,990|_중고_20,790","_벌크 + 쿨러_26,220|벌크_23,990|_중고_20,790","_벌크 + 쿨러_26,620|벌크_23,990|_중고_20,790","_벌크 + 쿨러_26,500|벌크_23,990|_중고_20,790","_벌크 + 쿨러_26,510|벌크_23,990|_중고_20,790","_벌크 + 쿨러_26,510|벌크_23,990|_중고_20,790","_벌크 + 쿨러_26,510|벌크_23,990|_중고_20,790","_벌크 + 쿨러_26,500|벌크_23,990|_중고_20,790","_벌크 + 쿨러_26,500|벌크_23,990|_중고_20,790","_벌크 + 쿨러_26,500|벌크_23,990|_중고_20,790"
