Id,Name,2026-08-01 20:08:41,2026-08-02 07:28:08,2026-08-02 20:08:27,2026-08-03 07:23:33,2026-08-03 21:50:50
20437697,로지텍 MX Keys S (정품),"_그라파이트_147,380|_페일그레이_147,380","_그라파이트_147,380|_페일그레이_147,380","_그라파이트_147,380|_페일그레이_147,380","_그라파이트_147,380|_페일그레이_147,380","_그라파이트_147,380|_페일그레이_147,380|중고_128,230"
20437769,로지텍 MX Keys S COMBO (정품),"277,980","277,980","277,980","277,980","277,980"
31284248,로지텍 MX Mechanical,"병행수입_168,990","병행수입_168,990","병행수입_168,990","병행수입_168,990","병행수입_168,980"
77016551,로지텍 MX Mechanical (정품),"_갈축_178,980|_적축_178,990|중고_185,170","_갈축_178,980|_적축_178,990|중고_185,170","_갈축_178,980|_적축_178,990|중고_185,170","_갈축_178,980|_적축_178,990|중고_185,170","_갈축_178,980|_적축_178,990|중고_185,640"
17170784,로지텍 MX Mechanical Mini (정품),"_갈축_134,070|_중고_113,000","_갈축_134,070|_중고_113,000","_갈축_134,070|_중고_113,000","_갈축_134,070|_중고_113,000","_갈축_134,070|_중고_113,000"
20769644,로지텍 MX PALM REST light pack (정품),"30,930","30,930","30,930","30,930","30,930"
71423942,로지텍 POP ICON KEYS (정품),"_블랙_62,000|라일락_62,000|화이트_62,000|_중고_20,490","_블랙_62,000|라일락_62,000|화이트_62,000|_중고_20,490","_블랙_61,500|라일락_61,500|화이트_61,500|_중고_20,490","_블랙_61,500|라일락_61,500|화이트_61,500|_중고_20,540","_블랙_61,500|라일락_61,500|화이트_61,500|_중고_18,070"
29753624,로지텍 Pebble 2 Combo 무선 키보드 마우스 세트 (정품),"65,380","62,910","62,910","62,910","62,910"
29915825,로지텍 Wave Keys (정품),"_그라파이트_85,900|로즈핑크_85,890|_오프화이트_85,900|중고_78,160","_그라파이트_85,900|로즈핑크_85,890|_오프화이트_85,900|중고_78,160","_그라파이트_85,900|로즈핑크_85,890|_오프화이트_85,900|중고_78,160","_그라파이트_85,900|로즈핑크_83,700|_오프화이트_85,900","_그라파이트_85,900|로즈핑크_85,890|_오프화이트_85,900|중고_78,160"
45316991,로지텍 Wave Keys + LIFT VERTICAL Combo 무선 키보드 마우스 세트,"_그래파이트_137,990|로즈핑크_136,840|_오프화이트_138,560","_그래파이트_134,100|로즈핑크_136,840|_오프화이트_134,100","_그래파이트_134,100|로즈핑크_136,840|_오프화이트_134,100","_그래파이트_134,100|로즈핑크_136,840|_오프화이트_134,100","_그래파이트_134,100|로즈핑크_136,840|_오프화이트_134,100"
16151342,로지텍 mx keys mini (정품),"_그라파이트_99,000|로즈핑크_99,000|_페일그레이_128,980|중고_112,200","_그라파이트_99,000|로즈핑크_99,000|_페일그레이_128,980|중고_112,200","_그라파이트_99,000|로즈핑크_99,000|_페일그레이_128,980|중고_112,200","_그라파이트_99,000|로즈핑크_99,000|_페일그레이_128,980|중고_112,700","_그라파이트_99,000|로즈핑크_99,000|_페일그레이_128,980|중고_90,090"
17745347,로지텍 시그니처 K650 (정품),"_그라파이트_54,620|_오프화이트_59,900|중고_43,700","_그라파이트_53,910|_오프화이트_59,900|중고_43,120","_그라파이트_53,910|_오프화이트_59,900|중고_43,120","_그라파이트_53,901|_오프화이트_59,900|중고_43,120","_그라파이트_53,910|_오프화이트_59,900|중고_43,120"
18963473,로지텍 시그니처 K855 무선 키보드,"_해외구매_63,480|_병행수입_76,500|비공식유통_91,200","_해외구매_63,480|_병행수입_76,500|비공식유통_91,200",0,0,0
20691041,로지텍 시그니처 K855 무선 키보드,0,0,"_해외구매_63,480|병행수입_76,500|_비공식유통_91,200","_해외구매_63,480|병행수입_76,500|_비공식유통_91,200","_해외구매_63,480|병행수입_76,500|_비공식유통_91,200"
17310608,로지텍 시그니처 K855 무선 키보드 (정품),"_그라파이트_89,000|로즈핑크_91,200|블루그레이_98,990|_오프화이트_92,000|중고_63,240","_그라파이트_89,000|로즈핑크_91,200|블루그레이_98,960|_오프화이트_92,000|중고_63,240","_그라파이트_89,000|로즈핑크_91,200|블루그레이_98,890|_오프화이트_92,000|중고_63,240","_그라파이트_89,000|로즈핑크_91,200|블루그레이_98,850|_오프화이트_92,000|중고_63,240","_그라파이트_89,000|로즈핑크_91,200|_블루그레이_98,850|오프화이트_92,000|중고_63,240"
17763857,로지텍 시그니처 MK650 (정품),"_그라파이트_81,850|_오프화이트_83,590|중고_66,160","_그라파이트_80,910|_오프화이트_83,600","_그라파이트_80,910|_오프화이트_83,600|중고_64,720","_그라파이트_80,910|_오프화이트_82,638|중고_64,720","_그라파이트_80,910|_오프화이트_83,600|중고_64,720"
49998344,로지텍 시그니처 슬림 K950 (정품),"88,990","88,990","88,990","88,990","88,990"
49998404,로지텍 시그니처 슬림 MK950 키보드 마우스 세트 (정품),"_그래파이트_116,100|_오프화이트_127,390","_그래파이트_116,100|_오프화이트_127,390","_그래파이트_116,100|_오프화이트_127,390","_그래파이트_116,100|_오프화이트_121,710","_그래파이트_116,100|_오프화이트_127,390"
100268336,로지텍 시그니처 슬림 솔라+ K980 무선,"135,040","135,040","135,040","135,040","135,040"
98762975,로프리 FLOW 2 100,"해외구매_173,485","해외구매_173,485",0,0,0
98762912,로프리 FLOW 2 68,"해외구매_112,410","해외구매_112,410","해외구매_112,410","해외구매_112,410","해외구매_117,273"
98762945,로프리 FLOW 2 84,"해외구매_156,000","해외구매_156,000","해외구매_156,000","해외구매_156,000","해외구매_154,909"
74006246,로프리 FLOW LITE OE921 유무선 기계식,"해외구매_74,610","해외구매_74,770","해외구매_74,770","해외구매_74,770","해외구매_75,110"
74006264,로프리 FLOW LITE OE922 유무선 기계식,"해외구매_82,550","해외구매_82,550","해외구매_82,550","해외구매_82,550","해외구매_82,550"
71903573,마이크로닉스 CALUX,"_게이트론축_371,070|_체리축_370,140","_게이트론축_371,070|_체리축_370,140","_게이트론축_371,070|_체리축_370,140","_게이트론축_371,070|_체리축_370,140","_게이트론축_371,070|_체리축_370,140"
11748392,마이크로닉스 CPK-1 큰글씨 한글키보드,"60,000","60,000","60,000","60,000","60,000"
32464430,마이크로닉스 EX580 크리스탈 파스텔 광축,"_블루 핑크_64,780|_블루 화이트_66,990","_블루 핑크_64,780|_블루 화이트_66,990","_블루 핑크_64,780|_블루 화이트_66,990","_블루 핑크_64,780|_블루 화이트_66,990","_블루 핑크_64,780|_블루 화이트_66,990"
6567821,마이크로닉스 GANSS ALT-71 CNC 풀알루미늄 분리형 키보드,"저소음 적축_279,000","저소음 적축_279,000","저소음 적축_279,000","저소음 적축_279,000","저소음 적축_279,000"
15386783,마이크로닉스 MANIC EX580 광축 크리스탈 게이밍 키보드,"파스텔블루, 핑크_66,360","파스텔블루, 핑크_66,360","파스텔블루, 핑크_66,360","파스텔블루, 핑크_66,360","파스텔블루, 핑크_66,360"
12866321,마이크로닉스 MANIC EX89 텐키리스PRO 게이밍기계식 RGB,"갈축_49,800","갈축_49,800","갈축_49,800","갈축_49,800","갈축_49,800"
13611080,마이크로닉스 MANIC K1400 유선 키보드,"55,440","55,440","55,440","55,440","55,440"
6150422,마이크로닉스 MANIC K160 키보드 마우스 무선 합본,"_스카이 블루_44,538|_인디 핑크_29,689","_스카이 블루_44,538|_인디 핑크_29,689","_스카이 블루_44,538|_인디 핑크_29,689","_스카이 블루_44,538|_인디 핑크_29,689","_스카이 블루_44,130|_인디 핑크_29,423"
6244499,마이크로닉스 MANIC K940 RGB 초슬림 기계식 카일 초콜릿축,"_적축_95,990|_백축_111,090","_적축_95,990|_백축_111,090","_적축_95,990|_백축_111,090","_적축_95,990|_백축_111,090","_적축_95,990|_백축_111,090"
9585567,마이크로닉스 MANIC KM330 무선 슬림 키보드 마우스 합본,"_민트_13,900|블랙_24,900|코발트블루_24,900|_핑크_13,900","_민트_13,900|블랙_24,900|코발트블루_24,900|_핑크_13,900","_민트_13,900|블랙_24,900|코발트블루_24,900|_핑크_13,900","_민트_13,900|블랙_24,900|코발트블루_24,900|_핑크_13,900","_민트_13,900|블랙_24,900|코발트블루_24,900|_핑크_13,900"
12125087,마이크로닉스 MANIC KM530 무선 슬림 무소음 키보드 마우스 합본,"핑크_18,800","핑크_18,800","핑크_18,800","핑크_18,800","핑크_18,800"
9473790,마이크로닉스 MANIC PAMPAM 팜레스트 키보드 손목받침대,"8,630","8,630","8,630","8,630","8,630"
13263059,마이크로닉스 MANIC X240 LED 게이밍 기계식 키보드,"_적축_32,000|_갈축_32,000|청축_32,900","_적축_32,000|_갈축_32,000|청축_32,900","_적축_32,000|_갈축_32,000|청축_32,900","_적축_32,000|_갈축_32,000|청축_32,900","적축_32,000|_갈축_32,000|_청축_32,900"
18515912,마이크로닉스 MANIC X40P 4세대 광축 완전방수 PBT,"블랙_53,000","블랙_53,000","블랙_53,000","블랙_53,000","블랙_53,000"
14761970,마이크로닉스 MECHA ZK-1 RGB 게이밍 기계식 키보드,"_적축_69,000|_갈축_63,410|백축_64,000","_적축_69,000|_갈축_63,380|백축_64,000","_적축_69,000|_갈축_63,380|백축_64,000","_적축_69,000|_갈축_63,370|백축_64,000","_적축_69,000|_갈축_63,370|백축_64,000"
14858900,마이크로닉스 MORPH MK-1 마닉축 RGB 게이밍 기계식 키보드,"_적축_89,000|_갈축_89,000|청축_89,000","_적축_89,000|_갈축_89,000|청축_89,000",0,0,0
14858822,마이크로닉스 MORPH MK-1 마닉축 RGB 게이밍 기계식 키보드,0,0,"_적축_89,000|갈축_89,000|_청축_89,000","_적축_89,000|갈축_89,000|_청축_89,000","_적축_89,000|갈축_89,000|_청축_89,000"
14761178,마이크로닉스 WARP WK-1 마닉축 RGB 게이밍 기계식 키보드 블랙,"적축_40,500|_갈축_42,500|_청축_42,180","적축_40,500|_갈축_42,500|_청축_42,180","적축_40,500|_갈축_42,500|_청축_42,180","적축_40,500|_갈축_42,500|_청축_42,180","적축_40,500|_갈축_42,500|_청축_42,180"
14761373,마이크로닉스 WARP WK-1 마닉축 RGB 게이밍 기계식 키보드 화이트,"적축_84,000|_갈축_45,470|_청축_59,900","적축_84,000|_갈축_45,470|_청축_59,900","적축_84,000|_갈축_45,470|_청축_59,900","적축_84,000|_갈축_45,470|_청축_59,900","적축_84,000|_갈축_45,470|_청축_59,900"
18460007,마이크로닉스 WIZMAX W101P 4세대 광축 완전방수 PBT,"_스카이 블루_64,650|_애쉬 핑크_64,650|피코크 그린_64,650","_스카이 블루_64,650|_애쉬 핑크_64,650|피코크 그린_64,650","_스카이 블루_64,650|_애쉬 핑크_64,650|피코크 그린_64,650","_스카이 블루_64,650|_애쉬 핑크_64,650|피코크 그린_64,650","_스카이 블루_64,650|_애쉬 핑크_64,650|피코크 그린_64,650"
45999167,마이크로닉스 WIZMAX W101P V2 4세대 광축 완전방수 PBT,"스카이 블루_67,000|_애쉬 핑크_67,000|_피코크 그린_67,000","스카이 블루_67,000|_애쉬 핑크_67,000|_피코크 그린_67,000","스카이 블루_67,000|_애쉬 핑크_67,000|_피코크 그린_67,000","스카이 블루_67,000|_애쉬 핑크_67,000|_피코크 그린_67,000","_스카이 블루_67,000|애쉬 핑크_67,000|_피코크 그린_67,000"
31374107,마이크로닉스 WIZMAX W85TKL 유무선 기계식 영문,"56,090","56,090","56,090","56,090","56,090"
31374032,마이크로닉스 WIZMAX W85TKL 유무선 기계식 한글,"82,820","82,820","82,820","82,820","82,820"
16362119,마이크로닉스 메카 ZK2 마닉축 RGB 게이밍 기계식 키보드,"적축_94,000|_갈축_94,000|_청축_94,000","적축_94,000|_갈축_94,000|_청축_94,000",0,0,0
16362128,마이크로닉스 메카 ZK2 마닉축 RGB 게이밍 기계식 키보드,0,0,"_적축_94,000|_갈축_94,000|청축_94,000","_적축_94,000|_갈축_94,000|청축_94,000","_적축_94,000|갈축_94,000|_청축_94,000"
16331441,마이크로닉스 워프 WK2 마닉축 RGB 게이밍 기계식 키보드,"_적축_29,900|갈축_89,000|_청축_29,900","_적축_29,900|갈축_89,000|_청축_29,900","_적축_29,900|갈축_89,000|_청축_29,900","_적축_29,900|갈축_89,000|_청축_29,900","_적축_29,900|갈축_89,000|_청축_29,900"
16332011,마이크로닉스 워프 WK3 마닉축 블루투스 RGB 텐키리스 게이밍 기계식 키보드,"적축_214,050|_갈축_79,900|_청축_65,000","적축_214,050|_갈축_79,900|_청축_65,000","적축_214,050|_갈축_79,900|_청축_65,000","적축_214,050|_갈축_79,900|_청축_65,000","적축_214,050|_갈축_79,900|_청축_65,000"
16335257,마이크로닉스 워프 WK4 마닉축 RGB 텐키리스 게이밍 기계식 키보드,"_적축_29,500|_갈축_29,900|청축_29,900","_적축_29,500|_갈축_29,900|청축_29,900","_적축_29,500|_갈축_29,900|청축_29,900","_적축_29,500|_갈축_29,900|청축_29,900","_적축_29,500|_갈축_29,900|청축_29,900"
103752920,몬스타 가츠 K21 PRO 유무선 기계식,"_마린_36,900|_솔라_36,600","_마린_36,900|_솔라_36,600","_마린_36,900|_솔라_36,600","_마린_36,900|_솔라_36,600","_마린_36,900|_솔라_36,600"
99743939,몬스타 가츠 X108 BTW 콤보 마들 무선 키보드 마우스 세트,"39,890","39,890",0,0,0
73559654,몬스타 가츠 사막여우,0,"19,290","19,100","19,100","19,100"
123538323,몬스타 녹음 백자 식물 도자기 조약돌 키캡 155키,"34,990","34,990","34,990","34,990","34,990"
123721494,몬스타 메론소다 129키,0,0,0,0,"35,000"
123537797,몬스타 아임토마토 체리 한글 129키,"34,990","34,990","34,990","33,000","33,000"
123538331,몬스타 청음 백자 식물 도자기 조약돌 키캡 155키,"34,990","34,990","34,990","34,990","34,990"
123721488,몬스타 크림소다 129키,0,0,0,0,"35,000"
81718127,발키리 VK-75 핑크레이디 유무선 기계식,"62,680","62,640","62,570","62,530","62,530"
72061406,발키리 VK-87 MERLIN 유무선 기계식,"63,600","64,230","64,230","64,230","64,230"
92969663,발키리 VK-87 MIST 유무선 기계식,"64,990","64,990","64,990","64,990","64,990"
72978179,발키리 VK-99 PRO LVBU 유무선 기계식,"96,980","96,980","96,980","96,980","96,980"
58812326,발키리 VK-99 유무선 기계식 영문,"Gift축_67,620","Gift축_67,620","Gift축_67,620","Gift축_67,620","Gift축_67,620"
70154558,발키리 VK-99 유무선 기계식 한글,"68,950","68,950","68,950","68,950","68,950"
11088768,비프렌드 KB700 알루미늄 팬터그래프 유선 키보드,"31,500","31,500","31,500","31,500","31,500"
96369731,삼성전자 EJ-B7800UBKGKR 무선,"99,000","99,000","99,000","99,000","99,000"
16881047,삼성전자 SK-P1000 무선,"_화이트_52,800|_블랙_52,800|핑크_52,800","_화이트_52,800|_블랙_52,800|핑크_52,800","_화이트_52,800|_블랙_52,800|핑크_52,800","_화이트_52,800|_블랙_52,800|핑크_52,800","_화이트_52,800|_블랙_52,800|핑크_52,800"
1103703,삼성전자 SKG-3000UB,"_키스킨 포함_21,500|_키스킨 미포함_21,500","_키스킨 포함_21,500|_키스킨 미포함_21,500","_키스킨 포함_21,500|_키스킨 미포함_21,500","_키스킨 포함_21,500|_키스킨 미포함_21,500","_키스킨 포함_21,500|_키스킨 미포함_21,500"
5703735,삼성전자 SKP-900B 키보드 마우스 세트,"_키스킨 포함_28,900|_키스킨 미포함_26,900","_키스킨 포함_28,900|_키스킨 미포함_26,900","_키스킨 포함_28,900|_키스킨 미포함_26,900","_키스킨 포함_28,900|_키스킨 미포함_26,900","_키스킨 포함_28,900|_키스킨 미포함_26,900"
73889735,삼성전자 SP-M1800Q 무선 키보드 마우스 세트,"62,500","62,500","62,500","62,500","62,500"
89525408,삼성전자 SP-M1900QB 무선 키보드 마우스 세트,"54,000","54,000","54,000","54,000","54,000"
62172854,삼성전자 SP-R1600B 무선 키보드 마우스 세트,"37,900","39,900","37,900","39,900","39,900"
98918525,삼성전자 SP-R1600W 무선 키보드 마우스 세트,"39,900","39,900","37,900","39,900","39,900"
5782793,삼성전자 SPA-JKA1BUB,"21,490","21,490","21,490","21,490","21,490"
6436163,삼성전자 SPA-KKA1BUW 유선 키보드,"19,900","19,900","19,900","19,900","19,900"
14269259,삼성전자 스마트키보드 트리오 500,"_블랙_36,390|_화이트_36,400","_블랙_36,390|_화이트_37,810","_블랙_36,390|_화이트_37,540","_블랙_36,390|_화이트_37,810","_블랙_36,390|_화이트_36,400"
94809809,상도아이앤티 ANYZONE ANY-K5 무선,"_블랙그레이_22,890|_화이트그레이_16,090","_블랙그레이_22,890|_화이트그레이_16,090","_블랙그레이_22,890|_화이트그레이_16,090","_블랙그레이_22,890|_화이트그레이_16,090","_블랙그레이_21,700|_화이트그레이_16,090"
122704972,상도아이앤티 ANYZONE ANY-K7,"_다크그레이_32,490|_블랙핑크_32,490","_다크그레이_32,490|_블랙핑크_32,490","_다크그레이_32,490|_블랙핑크_32,490","_다크그레이_32,490|_블랙핑크_32,490",0
