Id,Name,2026-08-01 19:48:44,2026-08-02 07:07:32,2026-08-02 19:49:12,2026-08-03 07:04:15,2026-08-03 21:35:16,2026-08-04 07:16:42,2026-08-04 20:34:21,2026-08-05 07:22:23,2026-08-05 20:29:28,2026-08-06 07:20:30,2026-08-06 20:32:54,2026-08-07 10:06:13,2026-08-07 19:09:41,2026-08-08 06:49:35,2026-08-08 18:48:24,2026-08-09 06:40:28
93446816,GeIL DDR5-6000 CL30 GEMINI RGB Gray 패키지,"32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500"
122725556,GeIL DDR5-6000 CL36 GEMINI RGB Gray 패키지,"32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000"
122725544,GeIL DDR5-6000 CL36 GEMINI RGB White 패키지,"32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,781원/1GB_665,000","32GB(16Gx2)_20,781원/1GB_665,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_21,875원/1GB_700,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000","32GB(16Gx2)_20,938원/1GB_670,000"
103599704,GeIL DDR5-6000 CL36 ORION V RGB WHITE 패키지,"32GB(16Gx2)_20,313원/1GB_650,000","32GB(16Gx2)_20,313원/1GB_650,000","32GB(16Gx2)_20,313원/1GB_650,000","32GB(16Gx2)_20,313원/1GB_650,000","32GB(16Gx2)_20,313원/1GB_650,000","32GB(16Gx2)_20,313원/1GB_650,000","32GB(16Gx2)_20,313원/1GB_650,000","32GB(16Gx2)_20,313원/1GB_650,000","32GB(16Gx2)_20,781원/1GB_665,000","32GB(16Gx2)_20,781원/1GB_665,000","32GB(16Gx2)_20,781원/1GB_665,000","32GB(16Gx2)_20,781원/1GB_665,000","32GB(16Gx2)_20,313원/1GB_650,000","32GB(16Gx2)_20,313원/1GB_650,000","32GB(16Gx2)_20,313원/1GB_650,000","32GB(16Gx2)_20,313원/1GB_650,000"
103416014,GeIL DDR5-6000 CL36 ORION V RGB 패키지,"32GB(16Gx2)_19,766원/1GB_632,500","32GB(16Gx2)_19,688원/1GB_630,000","32GB(16Gx2)_19,688원/1GB_630,000","32GB(16Gx2)_19,609원/1GB_627,500","32GB(16Gx2)_19,609원/1GB_627,500","32GB(16Gx2)_19,609원/1GB_627,500","32GB(16Gx2)_20,078원/1GB_642,500","32GB(16Gx2)_20,078원/1GB_642,500","32GB(16Gx2)_19,453원/1GB_622,500","32GB(16Gx2)_19,453원/1GB_622,500","32GB(16Gx2)_20,000원/1GB_640,000","32GB(16Gx2)_19,844원/1GB_635,000","32GB(16Gx2)_19,531원/1GB_625,000","32GB(16Gx2)_19,375원/1GB_620,000","32GB(16Gx2)_19,375원/1GB_620,000","32GB(16Gx2)_20,313원/1GB_650,000"
97124186,GeIL DDR5-6000 CL38 GEMINI RGB White 패키지,"32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500","32GB(16Gx2)_21,641원/1GB_692,500",0,0,0,0,0,0,0,0,0,0,0
11682743,GeIL 노트북 DDR4-3200 CL22,"_16GB_10,628원/1GB_170,050|_8GB_9,738원/1GB_77,900","_16GB_10,628원/1GB_170,050|_8GB_9,738원/1GB_77,900","_16GB_10,628원/1GB_170,050|_8GB_9,738원/1GB_77,900","_16GB_10,628원/1GB_170,050|_8GB_9,738원/1GB_77,900",0,0,0,0,0,0,0,0,0,0,0,0
11682767,GeIL 노트북 DDR4-3200 CL22,0,0,0,0,"_16GB_10,628원/1GB_170,050|_8GB_9,738원/1GB_77,900","_16GB_10,628원/1GB_170,050|_8GB_9,738원/1GB_77,900","_16GB_10,516원/1GB_168,260|_8GB_9,635원/1GB_77,080","_16GB_10,516원/1GB_168,260|_8GB_9,635원/1GB_77,080","_16GB_11,188원/1GB_179,000|_8GB_10,173원/1GB_81,380","_16GB_11,188원/1GB_179,000|_8GB_10,171원/1GB_81,370","_16GB_11,188원/1GB_179,000|_8GB_10,163원/1GB_81,300","_16GB_11,188원/1GB_179,000|_8GB_10,161원/1GB_81,290","_16GB_10,583원/1GB_169,330|_8GB_9,696원/1GB_77,570","_16GB_10,628원/1GB_170,050|_8GB_9,738원/1GB_77,900","_16GB_10,628원/1GB_170,050|_8GB_9,738원/1GB_77,900","_16GB_10,628원/1GB_170,050|_8GB_9,738원/1GB_77,900"
97365275,GeIL 노트북 DDR5-5600 CL46,"16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000","16GB_19,975원/1GB_319,600","16GB_19,975원/1GB_319,600","16GB_21,188원/1GB_339,000","16GB_21,188원/1GB_339,000","16GB_21,188원/1GB_339,000","16GB_21,188원/1GB_339,000","16GB_21,188원/1GB_339,000","16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000","16GB_20,188원/1GB_323,000"
28775711,HIKSEMI DDR4-3200 CL18 HIKER,"_8GB_9,250원/1GB_74,000|_16GB_8,563원/1GB_137,000","_8GB_9,250원/1GB_74,000|_16GB_8,563원/1GB_137,000","_8GB_9,250원/1GB_74,000|_16GB_8,563원/1GB_137,000","_8GB_9,250원/1GB_74,000|_16GB_8,563원/1GB_137,000","_8GB_9,250원/1GB_74,000|_16GB_8,562원/1GB_136,990","_8GB_9,250원/1GB_74,000|_16GB_8,563원/1GB_137,000","_8GB_9,250원/1GB_74,000|_16GB_8,563원/1GB_137,000","_8GB_9,250원/1GB_74,000|_16GB_8,563원/1GB_137,000","_8GB_9,249원/1GB_73,990|_16GB_8,718원/1GB_139,490","_8GB_9,249원/1GB_73,990|_16GB_8,718원/1GB_139,490","_8GB_9,249원/1GB_73,990|_16GB_8,718원/1GB_139,490","_8GB_9,249원/1GB_73,990|_16GB_8,718원/1GB_139,490","_8GB_9,249원/1GB_73,990|_16GB_8,718원/1GB_139,490","_8GB_9,249원/1GB_73,990|_16GB_8,625원/1GB_138,000","_8GB_9,249원/1GB_73,990|_16GB_8,625원/1GB_138,000","_8GB_9,249원/1GB_73,990|_16GB_8,625원/1GB_138,000"
97841867,HIKSEMI DDR4-3200 CL18 HIKER 중고,"16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000","16GB_8,125원/1GB_130,000"
96426677,HIKSEMI DDR5-5600 CL46 HIKER,"16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000","16GB_23,063원/1GB_369,000"
100691795,HIKSEMI DDR5-6000 CL38 FUTURE RGB BLACK 패키지,"32GB(16Gx2)_23,925원/1GB_765,600","32GB(16Gx2)_23,925원/1GB_765,600","32GB(16Gx2)_23,925원/1GB_765,600","32GB(16Gx2)_23,925원/1GB_765,600","32GB(16Gx2)_23,925원/1GB_765,600","32GB(16Gx2)_23,925원/1GB_765,600","32GB(16Gx2)_23,925원/1GB_765,600","32GB(16Gx2)_23,925원/1GB_765,600","32GB(16Gx2)_23,925원/1GB_765,600","32GB(16Gx2)_23,925원/1GB_765,600","32GB(16Gx2)_25,000원/1GB_800,000","32GB(16Gx2)_25,000원/1GB_800,000","32GB(16Gx2)_25,000원/1GB_800,000","32GB(16Gx2)_25,000원/1GB_800,000","32GB(16Gx2)_25,000원/1GB_800,000","32GB(16Gx2)_25,000원/1GB_800,000"
